
#######################################################
#
# Railways mod related
#
#######################################################

object_RailwayStation									 Railway Station

object_RailwayStationDoubleSpawner						 Railway Station (Double Rails)
buildtoolbar_popup_staff_RailwayStationDoubleSpawner	 Can be placed anywhere on the map.\nYou can only place 1 Railway Station per track.\n\nAfter placing, use its BUTTONS to configure what this station will do. Toggle LEFT and RIGHT side to set up each road lane. Toggle ENABLED if you want to activate a side. Both sides are independent, so for example you can have the right side turned on while the left side is inactive.\n\nRequires a Traffic Terminal on the map to be operational. The Traffic Terminal must be switched to AUTO before it starts sending cargo to the stations.

object_RailwayStationUnloadLeftSpawner					 Railway Station (Unload Left)
buildtoolbar_popup_staff_RailwayStationUnloadLeftSpawner Can be placed anywhere on the map.\nYou can only place 1 Railway Station per track.\n\nAfter placing, use its BUTTONS to configure what this station will do. In case you need it, you can even toggle its placement afterwards, by clicking LEFT / RIGHT side. It will then hop to the other side of the road.\n\nToggle the ENABLED button if you want to activate this station.\n\nRequires a Traffic Terminal on the map to be operational. The Traffic Terminal must be switched to AUTO before it starts sending cargo to the stations.

object_RailwayStationUnloadRightSpawner					 Railway Station (Unload Right)
buildtoolbar_popup_staff_RailwayStationUnloadRightSpawner Can be placed anywhere on the map.\nYou can only place 1 Railway Station per track.\n\nAfter placing, use its BUTTONS to configure what this station will do. In case you need it, you can even toggle its placement afterwards, by clicking LEFT / RIGHT side. It will then hop to the other side of the road.\n\nToggle the ENABLED button if you want to activate this station.\n\nRequires a Traffic Terminal on the map to be operational. The Traffic Terminal must be switched to AUTO before it starts sending cargo to the stations.

object_RailwayStationGantryCrane						 Railway Gantry
object_RailwayStationGantryHook							 Railway Hook
object_RailwayStationControl							 Railway Station Control
object_RailwayStationFireEngine							 Fireman Equipment
object_RailwayStationTrain								 Engine Block



#######################################################
#
#  End Advanced Roads
#
#######################################################



#######################################################
#
#  Begin Limo Garage
#
#######################################################

tooltip_Init_Garage										 The Garage will be created when the foundation is done.
object_FoundationChecker								 Foundation Checker

